@RELATION blink

@ATTRIBUTE accelerometer_variance NUMERIC
@ATTRIBUTE x_center_of_mass NUMERIC
@ATTRIBUTE y_center_of_mass NUMERIC
@ATTRIBUTE mean_frequency NUMERIC
@ATTRIBUTE class {watching,reading,solving,sawing,talking}

@DATA
0.429857,0.482352,1.416666,0.3,talking
0.459670,0.452941,1.416666,0.3,talking
0.564428,0.4,1.333333,0.283333,talking
0.621669,0.416666,1.25,0.266666,talking
0.690080,0.38,1.363636,0.266666,talking
0.670723,0.322727,1.222222,0.2,talking
0.546194,0.235,1.428571,0.183333,talking
0.327219,0.25,1.333333,0.15,talking
0.254536,0.228571,1.4,0.133333,talking
0.268705,0.216666,1.5,0.166666,talking
0.189891,0.233333,1.285714,0.166666,talking
0.409386,0.295454,1.375,0.2,talking
0.572039,0.309090,1.375,0.2,talking
0.582463,0.326666,1.666666,0.266666,talking
0.626935,0.323333,1.666666,0.266666,talking
0.613572,0.363333,1.363636,0.266666,talking
0.599787,0.38,1.5,0.266666,talking
0.430939,0.392857,1.272727,0.25,talking
0.278260,0.384615,1.444444,0.233333,talking
0.352739,0.372727,1.222222,0.2,talking
0.401290,0.346153,1.181818,0.233333,talking
0.373567,0.342307,1.3,0.233333,talking
0.416945,0.323076,1.444444,0.233333,talking
0.397040,0.279166,1.5,0.216666,talking
0.407196,0.265384,1.857142,0.233333,talking
0.296802,0.376923,1.625,0.233333,solving
0.238360,0.309090,1.571428,0.2,solving
0.200415,0.304545,1.571428,0.2,solving
0.090640,0.23125,1.333333,0.15,solving
0.028612,0.19375,1.6,0.15,solving
0.032349,0.2125,1.6,0.15,solving
0.031688,0.285,1.428571,0.183333,solving
0.028015,0.305555,1.285714,0.166666,solving
0.037557,0.261111,1.285714,0.166666,solving
0.039815,0.286363,1.571428,0.2,solving
0.039883,0.403846,1.444444,0.233333,solving
0.041068,0.428125,1.6,0.283333,solving
0.038734,0.425,1.555555,0.25,solving
0.036641,0.425,1.555555,0.25,solving
0.027019,0.392307,1.444444,0.233333,solving
0.028531,0.396666,1.5,0.266666,solving
0.030152,0.354166,1.2,0.216666,solving
0.039575,0.335,1.25,0.183333,solving
0.034371,0.34,1.428571,0.183333,solving
0.021035,0.34,1.428571,0.183333,solving
0.020895,0.338888,1.285714,0.166666,solving
0.027018,0.22,1.666666,0.1,solving
0.035985,0.292857,1.75,0.133333,solving
0.032573,0.23,1.25,0.1,solving
0.489656,0.466666,1.071428,0.266666,sawing
0.520122,0.426666,1.153846,0.266666,sawing
0.581169,0.304166,1.2,0.216666,sawing
0.589700,0.259090,1.833333,0.2,sawing
0.566282,0.309090,1.571428,0.2,sawing
0.546431,0.320833,1.5,0.216666,sawing
0.537642,0.307692,1.625,0.233333,sawing
0.496579,0.375,1.4,0.25,sawing
0.418707,0.373333,1.363636,0.266666,sawing
0.386935,0.382142,1.272727,0.25,sawing
0.399417,0.371875,1.454545,0.283333,sawing
0.409943,0.428947,1.583333,0.333333,sawing
0.408031,0.426190,1.75,0.366666,sawing
0.559967,0.383333,1.636363,0.316666,sawing
0.619235,0.4125,1.666666,0.35,sawing
0.623106,0.435714,1.75,0.366666,sawing
0.593489,0.4325,1.666666,0.35,sawing
0.622137,0.394736,1.583333,0.333333,sawing
0.617055,0.456818,1.692307,0.383333,sawing
0.498036,0.452272,1.692307,0.383333,sawing
0.429547,0.435,1.818181,0.35,sawing
0.396044,0.3875,2.5,0.35,sawing
0.407751,0.435714,1.909090,0.366666,sawing
0.360766,0.419047,2.1,0.366666,sawing
0.345440,0.4,1.545454,0.3,sawing
0.167597,0.2125,2.0,0.15,reading
0.008792,0.141666,1.5,0.116666,reading
0.005226,0.14375,1.6,0.15,reading
0.003794,0.238888,1.5,0.166666,reading
0.003421,0.23,1.666666,0.183333,reading
0.003221,0.231818,1.571428,0.2,reading
0.006606,0.231818,1.571428,0.2,reading
0.007455,0.22,1.428571,0.183333,reading
0.007361,0.2125,1.333333,0.15,reading
0.006587,0.135714,1.4,0.133333,reading
0.011339,0.265,1.111111,0.183333,reading
0.049615,0.327272,1.222222,0.2,reading
0.080276,0.366666,1.333333,0.216666,reading
0.093162,0.382142,1.4,0.25,reading
0.092922,0.384375,1.454545,0.283333,reading
0.084689,0.407142,1.272727,0.25,reading
0.058058,0.377272,1.1,0.2,reading
0.028546,0.305555,1.125,0.166666,reading
0.010436,0.264285,1.4,0.133333,reading
0.012300,0.09,2.5,0.1,reading
0.014448,0.141666,1.5,0.116666,reading
0.012779,0.1625,1.6,0.15,reading
0.006518,0.18125,1.333333,0.15,reading
