@RELATION blink

@ATTRIBUTE accelerometer_variance NUMERIC
@ATTRIBUTE x_center_of_mass NUMERIC
@ATTRIBUTE y_center_of_mass NUMERIC
@ATTRIBUTE mean_frequency NUMERIC
@ATTRIBUTE class {watching,reading,solving,sawing,talking}

@DATA
0.002345,0.222222,1.285714,0.166666,reading
0.001852,0.222222,1.285714,0.166666,reading
0.006713,0.15,1.25,0.1,watching
0.005577,0.15,1.25,0.1,watching
0.004705,0.1625,1.333333,0.083333,watching
0.003545,0.0,1.0,0.033333,watching
0.002840,0.0,0.0,0.016666,watching
0.003247,0.0,0.0,0.016666,watching
0.003852,0.0,0.0,0.0,watching
0.003575,0.0,0.0,0.0,watching
0.005034,0.2,2.0,0.05,watching
0.040148,0.3375,1.333333,0.083333,watching
0.040247,0.29,1.25,0.1,watching
0.039649,0.25,1.2,0.116666,watching
0.036478,0.25,1.2,0.116666,watching
0.032589,0.25,1.2,0.116666,watching
0.032296,0.25,1.0,0.066666,watching
0.004269,0.025,1.0,0.05,watching
0.004335,0.0,1.0,0.033333,watching
0.029796,0.0,1.0,0.033333,watching
0.063498,0.216666,1.0,0.066666,watching
0.073185,0.175,1.0,0.083333,watching
0.072916,0.16,1.0,0.1,watching
0.063088,0.2,1.0,0.083333,watching
0.043929,0.17,1.25,0.1,watching
0.005393,0.108333,2.0,0.116666,watching
0.002586,0.1,1.666666,0.1,watching
