@RELATION blink

@ATTRIBUTE accelerometer_variance NUMERIC
@ATTRIBUTE x_center_of_mass NUMERIC
@ATTRIBUTE y_center_of_mass NUMERIC
@ATTRIBUTE mean_frequency NUMERIC
@ATTRIBUTE class {watching,reading,solving,sawing,talking}

@DATA
0.414721,0.383333,1.636363,0.316666,talking
0.337485,0.427272,2.0,0.383333,talking
0.396036,0.41,2.222222,0.35,talking
0.411219,0.4175,2.0,0.35,talking
1.016637,0.428947,1.727272,0.333333,talking
1.215595,0.435,1.818181,0.35,talking
1.104331,0.421052,1.583333,0.333333,talking
1.069816,0.4575,1.818181,0.35,talking
1.046813,0.522916,1.846153,0.416666,talking
1.017250,0.510869,1.916666,0.4,talking
0.511188,0.514583,2.181818,0.416666,talking
0.369297,0.508695,2.090909,0.4,talking
0.671937,0.5,1.916666,0.4,talking
0.716969,0.408333,2.0,0.316666,talking
0.758650,0.418421,2.111111,0.333333,talking
0.933302,0.43,2.5,0.35,talking
0.834142,0.463636,2.2,0.383333,talking
0.960335,0.460869,2.3,0.4,talking
0.837861,0.473913,2.090909,0.4,talking
1.044547,0.5,2.25,0.466666,talking
1.036657,0.438636,2.0,0.383333,talking
0.981866,0.45,1.916666,0.4,talking
0.941362,0.463043,1.642857,0.4,talking
0.909811,0.524,1.785714,0.433333,talking
1.595030,0.517307,2.0,0.45,talking
1.030643,0.426190,2.333333,0.366666,solving
0.865470,0.443181,2.2,0.383333,solving
0.965917,0.456818,1.692307,0.383333,solving
0.667040,0.471428,1.909090,0.366666,solving
0.674612,0.428571,2.1,0.366666,solving
0.423707,0.440476,2.1,0.366666,solving
1.164939,0.481818,2.0,0.383333,solving
1.433093,0.486956,2.090909,0.4,solving
1.273176,0.4875,2.0,0.416666,solving
1.281638,0.508695,1.769230,0.4,solving
1.056444,0.486956,1.916666,0.4,solving
0.822145,0.508695,1.769230,0.4,solving
0.391951,0.477272,1.833333,0.383333,solving
0.426069,0.454761,2.1,0.366666,solving
0.497247,0.416666,2.333333,0.366666,solving
4.767774,0.49375,2.181818,0.416666,solving
5.105701,0.5,2.4,0.416666,solving
5.221943,0.4875,1.846153,0.416666,solving
5.272679,0.508,1.785714,0.433333,solving
5.305726,0.492,1.666666,0.433333,solving
5.191009,0.511111,1.8,0.466666,solving
1.025105,0.476923,1.857142,0.45,solving
0.831329,0.516666,2.0,0.516666,solving
0.733242,0.512903,1.9375,0.533333,solving
0.727812,0.535294,2.125,0.583333,solving
0.627127,0.355,1.428571,0.183333,sawing
0.635205,0.354166,1.333333,0.216666,sawing
0.663864,0.375,1.5,0.216666,sawing
0.658649,0.388461,1.444444,0.233333,sawing
0.720667,0.323076,1.444444,0.233333,sawing
1.189207,0.263636,1.375,0.2,sawing
1.143064,0.240909,1.375,0.2,sawing
1.172862,0.205,1.666666,0.183333,sawing
1.340815,0.183333,1.8,0.166666,sawing
1.624967,0.24,1.666666,0.183333,sawing
1.905752,0.281818,1.571428,0.2,sawing
1.648927,0.313636,1.375,0.2,sawing
1.813376,0.325,1.4,0.25,sawing
1.818232,0.334615,1.3,0.233333,sawing
2.057969,0.36,1.363636,0.266666,sawing
1.876553,0.328571,1.4,0.25,sawing
1.501076,0.310714,1.75,0.25,sawing
1.436682,0.319230,1.625,0.233333,sawing
