@RELATION blink

@ATTRIBUTE accelerometer_variance NUMERIC
@ATTRIBUTE x_center_of_mass NUMERIC
@ATTRIBUTE y_center_of_mass NUMERIC
@ATTRIBUTE mean_frequency NUMERIC
@ATTRIBUTE class {watching,reading,solving,sawing,talking}

@DATA
1.786193,0.277272,1.571428,0.2,sawing
2.522312,0.285714,2.0,0.25,sawing
1.989126,0.275,2.0,0.25,sawing
2.011174,0.269230,1.857142,0.233333,sawing
2.098399,0.273076,1.857142,0.233333,sawing
2.172346,0.275,1.75,0.25,sawing
1.870504,0.271428,1.75,0.25,sawing
0.076069,0.261538,1.625,0.233333,reading
0.083915,0.257142,1.75,0.25,reading
0.064619,0.269230,1.857142,0.233333,reading
0.052160,0.3,2.0,0.283333,reading
0.091933,0.30625,2.0,0.283333,reading
0.108171,0.317647,1.888888,0.3,reading
0.108881,0.325,1.777777,0.283333,reading
0.094833,0.314705,1.888888,0.3,reading
0.100063,0.315625,1.777777,0.283333,reading
0.103771,0.3,1.777777,0.283333,reading
0.075094,0.29,1.875,0.266666,reading
0.060139,0.276666,2.5,0.266666,reading
0.059863,0.283333,2.5,0.266666,reading
0.058333,0.293333,2.142857,0.266666,reading
0.053680,0.2875,2.285714,0.283333,reading
0.027473,0.273333,2.5,0.266666,reading
0.017805,0.296875,2.0,0.283333,reading
0.026834,0.284375,2.285714,0.283333,reading
0.025276,0.315625,2.0,0.283333,reading
0.036725,0.3125,2.285714,0.283333,reading
0.038434,0.303125,1.777777,0.283333,reading
0.033755,0.3,1.777777,0.283333,reading
0.028970,0.264285,1.75,0.25,reading
0.029929,0.2875,2.0,0.283333,reading
0.030832,0.347368,2.111111,0.333333,reading
0.012711,0.2125,1.0,0.083333,watching
0.006884,0.1,1.333333,0.083333,watching
0.007253,0.1,1.333333,0.083333,watching
0.005949,0.1125,1.333333,0.083333,watching
0.006387,0.141666,1.2,0.116666,watching
0.008703,0.128571,1.4,0.133333,watching
0.008450,0.177777,1.285714,0.166666,watching
0.008096,0.18125,1.6,0.15,watching
0.006192,0.2,1.4,0.133333,watching
0.005816,0.208333,1.2,0.116666,watching
0.072044,0.19,1.25,0.1,watching
0.116957,0.13,1.25,0.1,watching
0.137312,0.025,1.0,0.05,watching
0.135495,0.05,2.0,0.05,watching
0.117006,0.05,2.0,0.05,watching
0.082046,0.05,2.0,0.05,watching
0.002760,0.025,1.0,0.05,watching
0.002647,0.075,1.0,0.05,watching
0.085886,0.21,1.0,0.1,watching
0.098028,0.2625,1.0,0.083333,watching
0.104475,0.2625,1.0,0.083333,watching
0.109645,0.2625,1.0,0.083333,watching
0.113503,0.3,1.0,0.066666,watching
0.391945,0.33,1.0,0.1,watching
0.588655,0.2625,1.0,0.083333,watching
